Registration Number,Chassis_No,ChallanNo,Place,Date,State,Fine,Receipt Amout,Service Charge,Documents
DL1LAK9270,MD2B88303RWH05054,DL19788250429172103,GURUDAWARA ROAD,##########,DL,20000,5000,50,
DL1LAK9270,MD2B88303RWH05054,DL19788250429171714,GURUDAWARA ROAD,##########,DL,20000,5000,50,
DL1LAK8962,MD2B88305RWH05055,DL276684250219113018,R/A PUNJABI BAGH,##########,DL,500,100,50,
DL1LAK8912,MD2B88305RWG04288,DL19788250615140538,BIKANER CHWOK,##########,DL,20000,5000,50,
DL1LAK8912,MD2B88305RWG04288,DL19788250615140220,BIKANER CHWOK,##########,DL,20000,5000,50,
DL1LAK8913,MD2B88302RWG04961,DL286294250617170256,C-HEXAGUN,##########,DL,1500,300,50,
DL1LAK8913,MD2B88302RWG04961,DL19788250429183547,GURUDAWARA ROAD,##########,DL,20000,5000,50,
DL1LAK8913,MD2B88302RWG04961,DL19788250429182545,GURUDAWARA ROAD,##########,DL,20000,5000,50,
DL1LAK9123,MD2B88302RWH05191,DL38994250502162348,ARYA SAMAJ ROAD,##########,DL,20000,5000,50,
DL1LAK9123,MD2B88302RWH05191,DL38994250502161948,ARYA SAMAJ ROAD,##########,DL,20000,5000,50,
DL1LAK8911,MD2B88302RWG04975,DL297052250627183913,BIKANER CHOWK,##########,DL,20000,5000,50,
DL1LAK8911,MD2B88302RWG04975,DL297052250627183605,BIKANER CHOWK,##########,DL,20000,5000,50,
DL1LAK8911,MD2B88302RWG04975,DL253819250321144150,AYRA SHAMAJ ROAD,##########,DL,20000,5000,50,
DL1LAK8911,MD2B88302RWG04975,DL253819250321143807,AYRA SHAMAJ ROAD,##########,DL,20000,5000,50,
DL1LAK8911,MD2B88302RWG04975,DL100988250503170703,RAJ GHAT,##########,DL,500,300,50,
DL1LAK8954,MD2B88307RWH05106,DL127285250330152155,BIKANER CHOWK,##########,DL,20000,5000,50,
DL1LAK8954,MD2B88307RWH05106,DL127285250330151751,BIKANER CHOWK,##########,DL,25000,10000,50,
DL1LAK8954,MD2B88307RWH05106,DL38994250508135657,KAROL BAGH,##########,DL,20000,5000,50,
DL1LAK8954,MD2B88307RWH05106,DL38994250508125551,KAROL BAGH,##########,DL,20000,5000,50,
DL1LAK9249,MD2B88304RWH05189,DL214975250623200224,MIYAWALI RED LIGHT,##########,DL,500,100,50,
DL1LAK9249,MD2B88304RWH05189,DL221884250221180759,PUNJABI BAGH,##########,DL,500,100,50,
DL1LAK9287,MD2B88300RWH05237,DL18735250626121131,RAO MATADEEN MARG,##########,DL,500,300,50,
DL1LAK8977,MD2B88301RWG04935,DL293260250620133038,CHEMSFORD ROAD,##########,DL,500,300,50,
DL1LAK9111,MD2B88303RWH05197,DL31800250228170653,ARYA SAMAJ ROAD,##########,DL,20000,5000,50,
DL1LAK9111,MD2B88303RWH05197,DL31800250228170420,ARYA SAMAJ ROAD,##########,DL,20000,5000,50,
DL1LAK9348,MD2B88300RWH05092,DL180179250430180205,SARASWATI MARG,##########,DL,20000,5000,50,
DL1LAK9348,MD2B88300RWH05092,DL180179250430175119,SARASWATI MARG,##########,DL,20000,5000,50,
DL1LAK9245,MD2B88308RWH05406,DL19026250517162006,RAJ NAGAR PAKODA MARKET,##########,DL,500,300,50,
DL1LAK9271,MD2B88301RWH05389,DL234803250425162724,MOTHER DAIRY,##########,DL,500,300,50,
DL1LAK9230,MD2B8830XRWH05018,DL297052250610161644,AARYA SAMAJ ROAD,##########,DL,20000,5000,50,
DL1LAK9230,MD2B8830XRWH05018,DL297052250610161431,AARYA SAMAJ ROAD,##########,DL,20000,5000,50,
DL1LAK8945,MD2B88305RWH05041,DL295043250627172651,SARASWATI CHOWK,##########,DL,20000,5000,50,
DL1LAK8945,MD2B88305RWH05041,DL295043250627172416,SARASWATI CHOWK,##########,DL,20000,5000,50,
DL1LAK8945,MD2B88305RWH05041,DL31800250423171626,CHHAPARWALA CHOWK,##########,DL,20000,5000,50,
DL1LAK8945,MD2B88305RWH05041,DL31800250423171409,CHHAPARWALA CHOWK,##########,DL,20000,5000,50,
DL1LAN3851,MAT486022RZG18310,DL148485250402120747,AEROCITY 1,##########,DL,1500,300,50,
DL1LAN3863,MAT486022RZG18336,DL20932250428163336,PULL DAFREEN,##########,DL,500,100,50,
DL1LAN3882,MAT486022RZG18297,DL135055250513141324,SAKET MALL,##########,DL,500,300,50,
DL1LAN5915,P5FAB2UE4RRDA0559,DL127275250424172542,BAKKARWALA,##########,DL,6000,2500,50,
DL1LAN5963,P5FAB2UE5RRBA0788,DL88537250506152031,MOOLCHAND RED LIGHT,##########,DL,1500,1300,50,
DL1LAN7013,MAT486022RZF15043,DL19788250430145934,GURUDAWARA ROAD,##########,DL,20000,5000,50,
DL1LAN7013,MAT486022RZF15043,DL19788250430143341,GURUDAWARA ROAD,##########,DL,20000,5000,50,
DL1LAN7013,MAT486022RZF15043,DL19119250515161102,GTKROAD,##########,DL,500,300,50,
DL1LAN7013,MAT486022RZF15043,DL26609250521140433,GURUDWARA ROAD KAROL BAGH,##########,DL,20000,5000,50,
DL1LAN7013,MAT486022RZF15043,DL26609250521140244,GURUDWARA ROAD KAROL BAGH,##########,DL,20000,5000,50,
DL1LAN7052,MAT486022RZF15117,DL141620250315161956,CROWN PLAZA,##########,DL,500,300,50,
MH43CA4550,MD2B88305RWL01265,DL255628250628194910,C HEXAGON,##########,DL,500,300,50,
MH43CA4549,MD2B88304RWK01111,DL297052250624164244,BIKANER CHOWK,##########,DL,20000,5000,50,
MH43CA4549,MD2B88304RWK01111,DL297052250624163353,BIKANER CHOWK,##########,DL,20000,5000,50,
MH43CA4557,MD2B88303RWL01247,DL294772250620183430,KAROL BAGH,##########,DL,20000,5000,50,
MH43CA4557,MD2B88303RWL01247,DL294772250620183050,KAROL BAGH,##########,DL,20000,5000,50,
GJ05CV6639,MD9EMHDL23F217019,GJ4160807240905081083,"Hira Baug-08, Kapodra, 00079AE7D56A",##########,GJ,500,50,50,
GJ05CV6724,MD9EMHDL23E217036,GJ4160811250410114880,"Sardar Market Surat, Umarwada, Surat, Gujarat 395101, India, , bf647f5171d2b7e7",##########,GJ,500,50,50,
GJ05CV6820,MD9EMHDL23E217091,GJ205657240422185357,"Plot NO. 198, 199, GIDC Main Rd, Pandesara GIDC, Udhana, Surat, Gujarat 394221, India",##########,GJ,3000,2000,50,
GJ01TH3982,MD9EMHDL23F217066,GJ234627241014183740,"7296849562 7296849562 rajsthan sawaimadopur, Kapasia Bazar, Sakar Bazzar, Kalupur, Ahmedabad, Gujarat 325202, India",##########,GJ,1000,500,50,
GJ01TH3933,MD9EMHDL23F217003,GJ225882240629112613,"2HCJ+JR9, Swami Vivekanand Bridge, Old City, Raikhad, Ahmedabad, Gujarat 380001, India",##########,GJ,1000,500,50,
GJ01TH3737,MD9EMHDL23E217027,GJ206132250218172032,"30/H, Narol Rd, Calico Mills, Danilimda, Ahmedabad, Gujarat 380028, India",##########,GJ,500,200,50,
GJ03BX9159,MD9EMHDL23E217007,GJ206230241216093928,"3GHG+64X, Sola, Ahmedabad, Gujarat 380081, India",##########,GJ,500,50,50,
GJ03BX9365,MD9EMHDL23D217344,GJ238201240904173850,"3/4, Anand Nagar, Ahmedabad, Gujarat 380015, India",##########,GJ,1000,100,50,
GJ01TH7772,MD9EMHDL23L217019,GJ206292250103182315,N/A,##########,GJ,500,50,50,
GJ01TH7871,MD9EMHDL23L217055,GJ232016241225110352,"2247, Suigra pole, Kalupur, Ahmedabad, Gujarat 380001, India",##########,GJ,500,50,50,
GJ01TH7752,MD9EMHDL23L217077,GJ211114250211180516,"3, Ramyakunj Society, Naroda, Ahmedabad, Gujarat 382340, India",##########,GJ,500,50,50,
GJ01LT4735,MAT486022RZF15328,GJ4160616250124043943,"3GXJ+FM3, Gota Chokdi Flyover, Gota, Ahmedabad, Gujarat 380081, India, S.G. Highway-01 Traffic, 08b1f66437fab7a4",##########,GJ,3000,2000,50,
GJ01LT5426,MAT486022RZF15251,GJ4160600250219115179,"Himalaya Mall P2 L3 Camera, B-Traffic, VT/TM/ANPR/R/3156",##########,GJ,3000,500,50,
UP32XN7555,MAT486022RZF15676,DL137173250624140410,M.K. JAIN MARG,##########,DL,500,300,50,
DL51GD4695,#N/A,DL127382230925175642,BADARPUR,##########,DL,500,100,50,
DL51GD4695,#N/A,DL181347240727170335,SEIKH SARAI,##########,DL,500,300,50,
